Ch	FreqNum	GIC_SW	CNTHigh	CNTLow	GAP	CCS_A	CCS_B	GIC1A	GIC1B	GIC2A	GIC2B	GIC3A	GIC3B	GIC4A	GIC4B	OffsetHigh	OffsetLow
6	5	8	0	0	1	104	143	138	161	138	161	138	161	138	161	0	6	
6	6	4	0	0	5	137	79	126	112	126	112	126	112	126	112	0	6	
6	7	4	0	0	10	194	91	123	36	123	36	123	36	123	36	0	5	
6	8	2	0	0	25	124	47	121	38	121	38	121	38	121	38	0	4	
6	9	1	0	0	40	160	54	129	183	129	183	129	183	129	183	255	184	
6	16	0	0	199	1	94	217	128	128	128	128	128	128	128	128	0	7	
6	17	0	0	1	1	100	162	128	128	128	128	128	128	128	128	0	6	
6	18	4	0	0	5	137	79	126	112	126	112	126	112	126	112	0	6	
7	0	8	3	231	1	111	220	128	128	128	128	128	128	128	128	0	6	
7	1	8	0	199	1	102	224	128	128	128	128	128	128	128	128	0	6	
7	2	8	0	99	1	178	223	128	128	128	128	128	128	128	128	0	6	
7	3	8	0	9	1	184	209	128	128	128	128	128	128	128	128	0	6	
7	4	8	0	1	1	170	167	128	128	128	128	128	128	128	128	0	5	
7	5	8	0	0	1	141	148	125	160	125	160	125	160	125	160	0	5	
7	6	4	0	0	5	150	82	126	115	126	115	126	115	126	115	0	5	
7	7	4	0	0	10	122	95	132	36	132	36	132	36	132	36	0	4	
7	8	2	0	0	25	90	50	123	39	123	39	123	39	123	39	0	2	
7	9	1	0	0	40	240	63	139	188	139	188	139	188	139	188	255	183	
7	16	0	0	199	1	102	224	128	128	128	128	128	128	128	128	0	6	
7	17	0	0	1	1	170	167	128	128	128	128	128	128	128	128	0	5	
7	18	4	0	0	5	150	82	126	115	126	115	126	115	126	115	0	5	
8	0	8	3	231	1	117	215	128	128	128	128	128	128	128	128	0	11	
8	1	8	0	199	1	106	220	128	128	128	128	128	128	128	128	0	11	
8	2	8	0	99	1	99	220	128	128	128	128	128	128	128	128	0	11	
8	3	8	0	9	1	121	206	128	128	128	128	128	128	128	128	0	11	
8	4	8	0	1	1	114	164	128	128	128	128	128	128	128	128	0	10	
8	5	8	0	0	1	159	146	125	151	125	151	125	151	125	151	0	9	
8	6	4	0	0	5	95	81	128	109	128	109	128	109	128	109	0	8	
8	7	4	0	0	10	92	93	128	33	128	33	128	33	128	33	0	8	
8	8	2	0	0	25	84	47	133	35	133	35	133	35	133	35	0	6	
8	9	1	0	0	40	220	60	139	190	139	190	139	190	139	190	0	80	
8	16	0	0	199	1	106	220	128	128	128	128	128	128	128	128	0	11	
8	17	0	0	1	1	114	164	128	128	128	128	128	128	128	128	0	10	
8	18	4	0	0	5	95	81	128	109	128	109	128	109	128	109	0	8	
9	0	8	3	231	1	105	224	128	128	128	128	128	128	128	128	0	7	
9	1	8	0	199	1	143	227	128	128	128	128	128	128	128	128	0	6	
9	2	8	0	99	1	107	227	128	128	128	128	128	128	128	128	0	7	
9	3	8	0	9	1	94	214	128	128	128	128	128	128	128	128	0	7	
