Ch	FreqNum	GIC_SW	CNTHigh	CNTLow	GAP	CCS_A	CCS_B	GIC1A	GIC1B	GIC2A	GIC2B	GIC3A	GIC3B	GIC4A	GIC4B	OffsetHigh	OffsetLow
27	3	8	0	9	1	150	209	128	128	128	128	128	128	128	128	0	10	
27	4	8	0	1	1	127	167	128	128	128	128	128	128	128	128	0	9	
27	5	8	0	0	1	121	148	133	156	133	156	133	156	133	156	0	8	
27	6	4	0	0	5	100	82	125	111	125	111	125	111	125	111	0	8	
27	7	4	0	0	10	108	94	131	34	131	34	131	34	131	34	0	7	
27	8	2	0	0	25	204	47	128	36	128	36	128	36	128	36	0	6	
27	9	1	0	0	40	89	58	124	192	124	192	124	192	124	192	255	181	
27	16	0	0	199	1	101	223	128	128	128	128	128	128	128	128	0	10	
27	17	0	0	1	1	127	167	128	128	128	128	128	128	128	128	0	9	
27	18	4	0	0	5	100	82	125	111	125	111	125	111	125	111	0	8	
28	0	8	3	231	1	109	209	128	128	128	128	128	128	128	128	0	10	
28	1	8	0	199	1	101	213	128	128	128	128	128	128	128	128	0	10	
28	2	8	0	99	1	170	212	128	128	128	128	128	128	128	128	0	10	
28	3	8	0	9	1	104	200	128	128	128	128	128	128	128	128	0	10	
28	4	8	0	1	1	141	159	128	128	128	128	128	128	128	128	0	9	
28	5	8	0	0	1	178	140	129	162	129	162	129	162	129	162	0	8	
28	6	4	0	0	5	103	78	127	111	127	111	127	111	127	111	0	8	
28	7	4	0	0	10	102	90	127	35	127	35	127	35	127	35	0	7	
28	8	2	0	0	25	16	151	254	255	254	255	254	255	254	255	0	11	
28	9	1	0	0	40	124	53	121	188	121	188	121	188	121	188	0	168	
28	16	0	0	199	1	101	213	128	128	128	128	128	128	128	128	0	10	
28	17	0	0	1	1	141	159	128	128	128	128	128	128	128	128	0	9	
28	18	4	0	0	5	103	78	127	111	127	111	127	111	127	111	0	8	
29	0	8	3	231	1	130	212	128	128	128	128	128	128	128	128	0	12	
29	1	8	0	199	1	134	216	128	128	128	128	128	128	128	128	0	12	
29	2	8	0	99	1	119	216	128	128	128	128	128	128	128	128	0	12	
29	3	8	0	9	1	157	203	128	128	128	128	128	128	128	128	0	12	
29	4	8	0	1	1	119	164	128	128	128	128	128	128	128	128	0	11	
29	5	8	0	0	1	125	145	129	167	129	167	129	167	129	167	0	10	
29	6	4	0	0	5	108	82	130	117	130	117	130	117	130	117	0	9	
29	7	4	0	0	10	160	95	127	40	127	40	127	40	127	40	0	9	
29	8	2	0	0	25	103	53	135	44	135	44	135	44	135	44	0	8	
29	9	1	0	0	40	227	60	138	177	138	177	138	177	138	177	0	188	
29	16	0	0	199	1	134	216	128	128	128	128	128	128	128	128	0	12	
29	17	0	0	1	1	119	164	128	128	128	128	128	128	128	128	0	11	
29	18	4	0	0	5	108	82	130	117	130	117	130	117	130	117	0	9	
30	0	8	3	231	1	188	209	128	128	128	128	128	128	128	128	0	13	
30	1	8	0	199	1	106	218	128	128	128	128	128	128	128	128	0	12	
30	2	8	0	99	1	118	218	128	128	128	128	128	128	128	128	0	12	
30	3	8	0	9	1	167	205	128	128	128	128	128	128	128	128	0	12	
30	4	8	0	1	1	150	165	128	128	128	128	128	128	128	128	0	11	
30	5	8	0	0	1	159	148	133	146	133	146	133	146	133	146	0	10	
30	6	4	0	0	5	93	82	133	114	133	114	133	114	133	114	0	9	
30	7	4	0	0	10	108	95	128	36	128	36	128	36	128	36	0	8	
30	8	2	0	0	25	127	52	125	35	125	35	125	35	125	35	0	7	
30	9	1	0	0	40	64	85	118	204	118	204	118	204	118	204	0	124	
30	16	0	0	199	1	106	218	128	128	128	128	128	128	128	128	0	12	
30	17	0	0	1	1	150	165	128	128	128	128	128	128	128	128	0	11	
30	18	4	0	0	5	93	82	133	114	133	114	133	114	133	114	0	9	
31	0	8	3	231	1	127	219	128	128	128	128	128	128	128	128	0	16	
31	1	8	0	199	1	172	224	128	128	128	128	128	128	128	128	0	15	
31	2	8	0	99	1	133	224	128	128	128	128	128	128	128	128	0	15	
31	3	8	0	9	1	114	211	128	128	128	128	128	128	128	128	0	16	
31	4	8	0	1	1	111	169	128	128	128	128	128	128	128	128	0	14	
31	5	8	0	0	1	107	150	130	158	130	158	130	158	130	158	0	13	
31	6	4	0	0	5	157	82	130	112	130	112	130	112	130	112	0	12	
31	7	4	0	0	10	117	95	131	35	131	35	131	35	131	35	0	12	
31	8	2	0	0	25	133	49	128	40	128	40	128	40	128	40	0	11	
31	9	1	0	0	40	148	66	132	191	132	191	132	191	132	191	0	160	
31	16	0	0	199	1	172	224	128	128	128	128	128	128	128	128	0	15	
31	17	0	0	1	1	111	169	128	128	128	128	128	128	128	128	0	14	
31	18	4	0	0	5	157	82	130	112	130	112	130	112	130	112	0	12	
