ProjIndex	Ch	ChIndex	ChInfo	Inj.Freq	Amp1High	AmpLow	Amp2High	Amp2Low	Gain1	AcqGap	AcqCNTHigh	AcqCntLow	TotalDMFreq	DM1	DM2	DM3
2	24	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
2	25	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
2	26	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
2	27	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
2	28	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
2	29	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
2	30	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
2	31	0	3	3	1	128	1	128	1	1	0	9	0	1	5	10	
3	0	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	1	0	0	15	1	140	1	138	232	1	0	9	0	1	5	10	
3	2	0	0	15	1	115	1	125	232	1	0	9	0	1	5	10	
3	3	0	0	15	1	139	1	129	232	1	0	9	0	1	5	10	
3	4	0	0	15	1	135	1	130	232	1	0	9	0	1	5	10	
3	5	0	2	3	1	141	1	130	1	1	0	9	0	1	5	10	
3	6	0	0	15	1	134	1	126	232	1	0	9	0	1	5	10	
3	7	0	0	15	1	146	1	128	232	1	0	9	0	1	5	10	
3	8	0	0	15	1	130	1	119	232	1	0	9	0	1	5	10	
3	9	0	0	15	1	136	1	124	232	1	0	9	0	1	5	10	
3	10	0	0	15	1	129	1	108	232	1	0	9	0	1	5	10	
3	11	0	0	15	1	132	1	116	232	1	0	9	0	1	5	10	
3	12	0	0	15	1	141	1	122	232	1	0	9	0	1	5	10	
3	13	0	0	15	1	134	1	122	232	1	0	9	0	1	5	10	
3	14	0	0	15	1	137	1	125	232	1	0	9	0	1	5	10	
3	15	0	0	15	1	125	1	121	232	1	0	9	0	1	5	10	
3	16	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	17	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	18	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	19	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	20	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	21	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	22	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	23	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	24	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	25	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	26	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	27	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	28	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	29	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	30	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
3	31	0	3	3	1	128	1	128	1	1	0	9	0	1	5	10	
4	0	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	1	0	0	15	1	140	1	138	232	1	0	9	0	1	5	10	
4	2	0	0	15	1	115	1	125	232	1	0	9	0	1	5	10	
4	3	0	2	3	1	139	1	129	1	1	0	9	0	1	5	10	
4	4	0	0	15	1	135	1	130	232	1	0	9	0	1	5	10	
4	5	0	0	15	1	141	1	130	232	1	0	9	0	1	5	10	
4	6	0	0	15	1	134	1	126	232	1	0	9	0	1	5	10	
4	7	0	0	15	1	146	1	128	232	1	0	9	0	1	5	10	
4	8	0	0	15	1	130	1	119	232	1	0	9	0	1	5	10	
4	9	0	0	15	1	136	1	124	232	1	0	9	0	1	5	10	
4	10	0	0	15	1	129	1	108	232	1	0	9	0	1	5	10	
4	11	0	0	15	1	132	1	116	232	1	0	9	0	1	5	10	
4	12	0	0	15	1	141	1	122	232	1	0	9	0	1	5	10	
4	13	0	0	15	1	134	1	122	232	1	0	9	0	1	5	10	
4	14	0	0	15	1	137	1	125	232	1	0	9	0	1	5	10	
4	15	0	0	15	1	125	1	121	232	1	0	9	0	1	5	10	
4	16	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	17	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	18	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	19	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	20	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	21	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	22	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	23	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	24	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	25	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	26	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	27	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	28	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	29	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	30	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
4	31	0	3	3	1	128	1	128	1	1	0	9	0	1	5	10	
5	0	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	1	0	0	15	1	140	1	138	232	1	0	9	0	1	5	10	
5	2	0	0	15	1	115	1	125	232	1	0	9	0	1	5	10	
